Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Season,Winner
2021-01-11,Portland Trail Blazers,Toronto Raptors,112,111,0.458,0.449,0.333,0.404,0.88,1.0,42,43,18,27,13,15,2020-21,Home
2021-01-11,Sacramento Kings,Indiana Pacers,127,122,0.56,0.485,0.469,0.333,0.783,0.833,44,37,29,26,18,12,2020-21,Home
2021-01-11,Atlanta Hawks,Philadelphia 76ers,112,94,0.374,0.402,0.386,0.222,0.778,0.923,58,50,20,20,8,9,2020-21,Home
2021-01-11,Orlando Magic,Milwaukee Bucks,99,121,0.429,0.505,0.355,0.371,0.769,0.8,44,43,24,25,18,14,2020-21,Away
2021-01-11,Cleveland Cavaliers,Memphis Grizzlies,91,101,0.451,0.513,0.423,0.25,0.429,0.762,40,40,20,32,17,15,2020-21,Away
2021-01-11,Charlotte Hornets,New York Knicks,109,88,0.487,0.391,0.406,0.243,0.87,0.647,37,49,28,20,10,16,2020-21,Home
2021-01-11,Washington Wizards,Phoenix Suns,128,107,0.522,0.448,0.441,0.148,0.607,0.833,53,42,29,21,7,6,2020-21,Home
2021-01-12,Cleveland Cavaliers,Utah Jazz,87,117,0.389,0.5,0.258,0.533,0.643,0.75,40,48,23,26,12,16,2020-21,Away
2021-01-12,Houston Rockets,Los Angeles Lakers,100,117,0.392,0.5,0.3,0.438,0.75,0.704,42,55,23,26,13,20,2020-21,Away
2021-01-12,Brooklyn Nets,Denver Nuggets,122,116,0.608,0.5,0.5,0.486,0.667,0.625,41,32,31,28,18,13,2020-21,Home
2021-01-12,Philadelphia 76ers,Miami Heat,137,134,0.49,0.462,0.345,0.339,0.72,0.792,52,46,32,27,17,18,2020-21,Home
2021-01-12,Golden State Warriors,Indiana Pacers,95,104,0.382,0.443,0.342,0.321,0.636,0.68,46,50,25,26,15,14,2020-21,Away
2021-01-12,Oklahoma City Thunder,San Antonio Spurs,102,112,0.434,0.432,0.269,0.286,0.793,0.909,52,46,18,26,13,4,2020-21,Away
2021-01-13,LA Clippers,New Orleans Pelicans,111,106,0.473,0.477,0.486,0.357,0.852,0.75,36,48,26,18,10,9,2020-21,Home
2021-01-13,Oklahoma City Thunder,Los Angeles Lakers,99,128,0.43,0.495,0.323,0.459,0.789,0.773,42,50,23,26,11,9,2020-21,Away
2021-01-13,New York Knicks,Brooklyn Nets,109,116,0.478,0.484,0.393,0.4,0.833,0.706,43,46,22,29,9,6,2020-21,Away
2021-01-13,Sacramento Kings,Portland Trail Blazers,126,132,0.524,0.489,0.5,0.479,0.731,0.778,42,38,35,28,13,8,2020-21,Away
