Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Season,HomeFG,AwayFG,HomeFG3,AwayFG3,HomeFT,AwayFT,HomeREB,AwayREB,HomeAST,AwayAST,HomeTO,AwayTO,Winner
2021-01-07,Zenit,Panathinaikos,89.0,77.0,2020-21,,,,,,,,,,,,,Home
2021-01-07,Fenerbahce,Red Star Belgrade,73.0,71.0,2020-21,,,,,,,,,,,,,Home
2021-01-07,CSKA Moscow,Baskonia,93.0,95.0,2020-21,,,,,,,,,,,,,Away
2021-01-08,Bayern Munich,Olympiacos,82.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-01-08,Olimpia Milano,Real Madrid,80.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-01-08,Efes,ASVEL,102.0,80.0,2020-21,,,,,,,,,,,,,Home
2021-01-08,Khimki,Zalgiris,75.0,102.0,2020-21,,,,,,,,,,,,,Away
2021-01-12,ALBA Berlin,Efes,76.0,84.0,2020-21,,,,,,,,,,,,,Away
2021-01-12,Barcelona,Khimki,87.0,75.0,2020-21,,,,,,,,,,,,,Home
2021-01-12,Olympiacos,Maccabi Tel Aviv,89.0,87.0,2020-21,,,,,,,,,,,,,Home
2021-01-12,Valencia,Olimpia Milano,80.0,95.0,2020-21,,,,,,,,,,,,,Away
2021-01-12,Baskonia,Fenerbahce,76.0,96.0,2020-21,,,,,,,,,,,,,Away
2021-01-13,ASVEL,Panathinaikos,71.0,88.0,2020-21,,,,,,,,,,,,,Away
2021-01-13,Zenit,Bayern Munich,80.0,82.0,2020-21,,,,,,,,,,,,,Away
2021-01-13,Zalgiris,CSKA Moscow,73.0,83.0,2020-21,,,,,,,,,,,,,Away
2021-01-14,Olimpia Milano,ALBA Berlin,84.0,70.0,2020-21,,,,,,,,,,,,,Home
2021-01-14,Khimki,Efes,60.0,99.0,2020-21,,,,,,,,,,,,,Away
2021-01-14,Baskonia,Maccabi Tel Aviv,82.0,91.0,2020-21,,,,,,,,,,,,,Away
2021-01-15,Real Madrid,Bayern Munich,81.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-01-15,Barcelona,CSKA Moscow,88.0,75.0,2020-21,,,,,,,,,,,,,Home
2021-01-15,ASVEL,Olympiacos,69.0,63.0,2020-21,,,,,,,,,,,,,Home
2021-01-15,Zalgiris,Zenit,65.0,77.0,2020-21,,,,,,,,,,,,,Away
2021-01-15,Panathinaikos,Fenerbahce,74.0,100.0,2020-21,,,,,,,,,,,,,Away
2021-01-15,Red Star Belgrade,Valencia,71.0,91.0,2020-21,,,,,,,,,,,,,Away
2021-01-18,Red Star Belgrade,Real Madrid,79.0,77.0,2020-21,,,,,,,,,,,,,Home
2021-01-19,Olympiacos,ASVEL,101.0,93.0,2020-21,,,,,,,,,,,,,Home
2021-01-21,Valencia,ASVEL,77.0,90.0,2020-21,,,,,,,,,,,,,Away
2021-01-21,Khimki,Panathinaikos,78.0,94.0,2020-21,,,,,,,,,,,,,Away
2021-01-21,Efes,Zenit,78.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-01-21,Real Madrid,Maccabi Tel Aviv,84.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-01-21,Bayern Munich,Olimpia Milano,51.0,75.0,2020-21,,,,,,,,,,,,,Away
2021-01-22,Fenerbahce,CSKA Moscow,89.0,83.0,2020-21,,,,,,,,,,,,,Home
2021-01-22,Barcelona,Red Star Belgrade,72.0,60.0,2020-21,,,,,,,,,,,,,Home
2021-01-22,ALBA Berlin,Baskonia,84.0,77.0,2020-21,,,,,,,,,,,,,Home
2021-01-22,Olympiacos,Zalgiris,79.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-01-26,Red Star Belgrade,Efes,72.0,86.0,2020-21,,,,,,,,,,,,,Away
2021-01-26,Zenit,Barcelona,81.0,85.0,2020-21,,,,,,,,,,,,,Away
2021-01-26,Bayern Munich,Khimki,95.0,93.0,2020-21,,,,,,,,,,,,,Home
2021-01-26,Olympiacos,Olimpia Milano,79.0,90.0,2020-21,,,,,,,,,,,,,Away
2021-01-26,Maccabi Tel Aviv,Fenerbahce,75.0,82.0,2020-21,,,,,,,,,,,,,Away
2021-01-27,Zalgiris,Valencia,79.0,78.0,2020-21,,,,,,,,,,,,,Home
2021-01-27,Baskonia,ASVEL,77.0,83.0,2020-21,,,,,,,,,,,,,Away
2021-01-27,CSKA Moscow,ALBA Berlin,71.0,68.0,2020-21,,,,,,,,,,,,,Home
2021-01-27,Panathinaikos,Real Madrid,66.0,76.0,2020-21,,,,,,,,,,,,,Away
2021-01-28,Barcelona,Olympiacos,76.0,74.0,2020-21,,,,,,,,,,,,,Home
2021-01-28,Fenerbahce,Khimki,107.0,76.0,2020-21,,,,,,,,,,,,,Home
2021-01-28,Zenit,Olimpia Milano,76.0,82.0,2020-21,,,,,,,,,,,,,Away
2021-01-29,Real Madrid,ALBA Berlin,72.0,63.0,2020-21,,,,,,,,,,,,,Home
2021-01-29,Bayern Munich,CSKA Moscow,69.0,66.0,2020-21,,,,,,,,,,,,,Home
2021-01-29,Valencia,Panathinaikos,72.0,91.0,2020-21,,,,,,,,,,,,,Away
2021-01-29,Zalgiris,Baskonia,68.0,81.0,2020-21,,,,,,,,,,,,,Away
2021-01-29,ASVEL,Red Star Belgrade,81.0,78.0,2020-21,,,,,,,,,,,,,Home
